Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.444043321,1.878136201,3.244680851,4.396491228,5.759581882,6.506896552,7.457337884,7.840677966,8.758389262,9.305647841,10.14473684,10.76143791,11.29126214,11.61736334,12.25159236,13.07594937,12.55345912
         Department of Defense,4.23655914,4.423280423,4.479166667,4.743589744,4.370558376,4.155,5.336633663,6.490196078,7.014563107,7.206730769,7.533333333,8.291079812,9.288372093,10.29953917,11.35321101,11.77272727,12.13963964,13.04464286,13.57079646,15.1622807,17.16956522,19.69098712,21.94893617,22.75527426,24.44351464,28.36363636,31.28688525,33.34146341,35.39516129,36.94023904,41.12598425,44.88715953,44.69615385,45.72243346,44.48496241,44.94402985,44.099631,43.98905109,44.04693141,45.35842294,48.61347518,54.12631579,65.73519164,76.66896552,85.01023891,89.82372881,99.87919463,107.1960133,112,119.9052288,123.9223301,128.2700965,126.9012739,124.3481013,129.1886792
         Department of Veterans Affairs,4.822580645,4.936507937,5.005208333,5.205128205,5.370558376,5.595,5.707920792,6.215686275,6.524271845,7.134615385,8.185714286,9.309859155,10.65581395,12.19354839,13.30275229,15.36818182,18.31531532,18.50892857,21.5,22.25,24.95652174,26.87124464,29.38297872,31.20675105,33.76569038,34.42975207,35.96311475,37.54471545,38.8266129,40.37450199,43.06692913,46.11673152,48.43846154,51.79087452,54.93233083,55.37313433,57.44280443,56.52554745,58.96389892,62.7562724,67.66666667,73.9754386,79.37979094,91.43793103,95.39590444,101.0237288,106.9161074,110.2923588,123.9671053,138.7679739,147.9708738,154.8874598,158.4649682,167.2151899,179.7578616
     Other Third Party Payers and Programs,20.90860215,22.9047619,24.49479167,26.6974359,28.72588832,31.67,30.82178218,29.39215686,33.21359223,37.29807692,42.73333333,45.18309859,47.59069767,52.15207373,59.49541284,66.12272727,73.71171171,81.08482143,92.29646018,105.8815789,124.1304348,140.776824,154.5361702,163.8902954,173.1046025,193.0206612,217.2827869,239.9512195,269.1370968,281.1115538,303.4566929,320.7354086,338.7346154,355.7794677,365.7593985,376.3880597,386.4760148,402.4562044,433.0288809,441.0107527,442.9787234,461.077193,483.9303136,525.0413793,549.0238908,572.5762712,602.4966443,637.2026578,623.2171053,629.0882353,652.7799353,669.5691318,711.5573248,751.4272152,791.6037736
         Worksite Health Care,0.333333333,0.349206349,0.369791667,0.4,0.441624365,0.485,0.544554455,0.62745098,0.713592233,0.822115385,0.933333333,1.018779343,1.144186047,1.294930876,1.5,1.695454545,2.018018018,2.366071429,2.730088496,3.153508772,3.591304348,4.090128755,4.429787234,4.877637131,5.464435146,5.756198347,6.237704918,6.849593496,7.528225806,8.107569721,8.771653543,9.116731518,9.553846154,9.923954373,10.26691729,10.68283582,10.97785978,11.35766423,11.62454874,11.91039427,12.4751773,12.8245614,13.1533101,13.53448276,14,14.51525424,14.73825503,15.08637874,14.96052632,14.93464052,15.20711974,15.78456592,16.53184713,17.17721519,17.86163522
         Other Private Revenues,1.586021505,1.746031746,1.901041667,2.158974359,2.467005076,2.85,3.277227723,3.803921569,4.776699029,5.677884615,6.942857143,7.680751174,8.83255814,9.281105991,10.64678899,11.58181818,16.44144144,18.08035714,22.33185841,26.60087719,36.8,45.1416309,53.24680851,58.58227848,64.40585774,75.38429752,84.19262295,92.15447154,107.1653226,111.1513944,114.8464567,122.5019455,130.2692308,138.269962,143.3796992,157.5335821,169.1217712,183.7883212,208.1191336,211.8351254,203.0070922,194.5894737,197.0209059,213.4172414,226.1365188,239.6338983,266.9966443,298.2126246,284.5427632,299.8169935,319.0517799,323.2829582,355.1019108,385.5,417.1855346
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.895454545,1.148648649,1.370535714,1.659292035,1.807017544,1.943478261,2.201716738,2.136170213,2.345991561,2.719665272,2.979338843,2.93442623,3.101626016,3.262096774,3.175298805,3.917322835,4.680933852,5.523076923,5.615969582,5.620300752,6.164179104,5.988929889,6.295620438,6.129963899,6.275985663,6.737588652,7.396491228,7.37630662,7.910344828,8.252559727,8.26779661,8.506711409,8.534883721,8.950657895,10.08823529,11.22653722,11.31832797,11.65605096,11.25,12.01572327
         Workers' Compensation,3.306451613,3.407407407,3.671875,3.805128205,4.096446701,4.35,4.905940594,5.392156863,6.038834951,6.596153846,7.295238095,7.370892019,7.976744186,9.451612903,10.9266055,12.13181818,13.65315315,15.65178571,17.81415929,21.68859649,24.37391304,26.56223176,29.48510638,30.73839662,32.05439331,36.92975207,41.32377049,48.60569106,55.70967742,61.82868526,69.01574803,73.76653696,81.15384615,85.9581749,83.41729323,81.76865672,81.36531365,80.80291971,83.25631769,86.66666667,93.88652482,106.9754386,118.9407666,133.0862069,136.105802,140.7898305,140.1711409,137.2990033,131.7401316,117.5522876,116.7799353,125.8327974,132.9044586,139.4841772,148.6415094
         General Assistance,0.548387097,0.582010582,0.53125,0.528205128,0.568527919,0.61,0.900990099,1.176470588,1.451456311,1.725961538,1.985714286,2.23943662,2.706976744,3.184331797,3.793577982,4.545454545,5.094594595,5.71875,6.008849558,6.789473684,8.256521739,9.553648069,10.37021277,11.17721519,12.0292887,13.17768595,14.02459016,14.43902439,15.08870968,16.48605578,19.81102362,20.18287938,21.27307692,19.15209125,20.4924812,20.28731343,19.97785978,18.85766423,17.79061372,13.88530466,13.97163121,16.90877193,17.90243902,19.27931034,20.15017065,21,22.55369128,23.0166113,23.50657895,23.38235294,22.88349515,21.4437299,20.45541401,21.15822785,22.30188679
         Maternal/Child Health,0.623655914,0.91005291,0.9375,1.030769231,1.116751269,1.22,1.440594059,1.588235294,1.830097087,2.091346154,1.947619048,2.126760563,2.241860465,2.152073733,2.408256881,2.568181818,2.788288288,2.96875,3.101769912,3.399122807,3.756521739,3.772532189,3.978723404,4.561181435,4.648535565,5.330578512,5.700819672,6.138211382,6.370967742,6.498007968,6.665354331,7.525291829,8.253846154,8.737642586,9.184210526,9.451492537,9.756457565,10.26642336,10.46931408,10.75985663,11.19858156,11.47719298,11.82229965,11.98965517,11.83959044,11.64745763,11.18791946,12.50166113,13.64144737,12.89869281,12.66343042,11.80064309,10.97452229,10.79113924,10.38050314
                          Federal  ,0.14516129,0.232804233,0.25,0.256410256,0.304568528,0.4,0.564356436,0.696078431,0.810679612,0.913461538,0.704761905,0.896713615,1.088372093,0.940092166,1.114678899,1.254545455,1.337837838,1.388392857,1.460176991,1.486842105,1.495652174,1.454935622,1.459574468,1.679324895,1.456066946,1.681818182,1.618852459,1.760162602,1.850806452,1.896414343,1.881889764,2.015564202,2.173076923,2.197718631,2.233082707,2.190298507,2.140221402,2.124087591,2.122743682,2.161290323,2.159574468,2.171929825,2.216027875,2.186206897,2.167235495,2.108474576,2.006711409,1.993355482,1.953947368,1.931372549,1.912621359,1.874598071,1.789808917,1.727848101,1.783018868
                          State and Local,0.478494624,0.671957672,0.692708333,0.769230769,0.807106599,0.82,0.871287129,0.892156863,1.019417476,1.173076923,1.242857143,1.234741784,1.153488372,1.216589862,1.293577982,1.318181818,1.45045045,1.580357143,1.64159292,1.912280702,2.260869565,2.317596567,2.523404255,2.88185654,3.192468619,3.648760331,4.081967213,4.382113821,4.52016129,4.601593625,4.787401575,5.509727626,6.080769231,6.539923954,6.954887218,7.26119403,7.616236162,8.142335766,8.346570397,8.598566308,9.039007092,9.305263158,9.606271777,9.803448276,9.672354949,9.542372881,9.181208054,10.50830565,11.68421053,10.96732026,10.75080906,9.926045016,9.187898089,9.063291139,8.597484277
         Vocational Rehabilitation,0.107526882,0.116402116,0.130208333,0.148717949,0.16751269,0.205,0.287128713,0.431372549,0.558252427,0.629807692,0.738095238,0.845070423,0.855813953,0.875576037,0.926605505,0.954545455,0.945945946,0.977678571,0.973451327,0.98245614,0.969565217,0.982832618,0.991489362,1.037974684,1.075313808,1.082644628,1.106557377,1.174796748,1.209677419,1.227091633,1.251968504,1.291828794,1.319230769,1.285171103,1.353383459,1.343283582,1.298892989,1.339416058,1.364620939,1.394265233,1.492907801,1.575438596,1.613240418,1.617241379,1.597269625,1.562711864,1.67114094,1.651162791,1.608552632,1.692810458,1.805825243,1.774919614,1.687898089,1.655063291,1.650943396
                          Federal  ,0.064516129,0.074074074,0.078125,0.092307692,0.101522843,0.135,0.207920792,0.323529412,0.417475728,0.480769231,0.576190476,0.657276995,0.669767442,0.686635945,0.724770642,0.745454545,0.734234234,0.758928571,0.743362832,0.75,0.739130435,0.738197425,0.731914894,0.772151899,0.815899582,0.826446281,0.848360656,0.906504065,0.935483871,0.948207171,0.968503937,1,1.015384615,0.961977186,1.018796992,1.01119403,0.970479705,1.00729927,1.032490975,1.050179211,1.124113475,1.2,1.236933798,1.237931034,1.232081911,1.203389831,1.265100671,1.239202658,1.230263158,1.300653595,1.40776699,1.389067524,1.308917197,1.28164557,1.273584906
                          State and Local,0.043010753,0.042328042,0.052083333,0.056410256,0.065989848,0.075,0.079207921,0.107843137,0.140776699,0.149038462,0.161904762,0.187793427,0.186046512,0.188940092,0.201834862,0.209090909,0.216216216,0.21875,0.230088496,0.23245614,0.230434783,0.244635193,0.259574468,0.261603376,0.259414226,0.256198347,0.258196721,0.268292683,0.274193548,0.278884462,0.283464567,0.291828794,0.303846154,0.323193916,0.334586466,0.332089552,0.328413284,0.332116788,0.332129964,0.344086022,0.368794326,0.375438596,0.37630662,0.379310345,0.361774744,0.359322034,0.406040268,0.411960133,0.378289474,0.392156863,0.394822006,0.38585209,0.378980892,0.373417722,0.374213836
         Other Federal Programs*,1.811827957,2.365079365,3.114583333,3.666666667,3.807106599,4.155,3.232673267,2.269607843,2.373786408,2.985576923,4.414285714,5.17370892,4.479069767,4.516129032,4.981651376,3.159090909,3.707207207,3.8125,4.194690265,4.894736842,5.839130435,5.725321888,5.038297872,4.405063291,4.456066946,4.578512397,4.643442623,4.865853659,5.125,5.302788845,6.125984252,7.175097276,7.884615385,8.6121673,9.293233083,9.52238806,10.48339483,11.37956204,12.25631769,13.8172043,15.82269504,18.57894737,19.77700348,20.74137931,21.40614334,21.56949153,21.54697987,22.32890365,22.77631579,23.85947712,25.04530744,30.73954984,36.88535032,40.69936709,39.94025157
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2.586363636,2.418918919,2.59375,3.048672566,2.907894737,3.586956522,3.429184549,2.706382979,2.52742616,2.539748954,2.128099174,2.18442623,2.617886179,3.564516129,2.780876494,5.401574803,6.443579767,6.480769231,6.517110266,7.101503759,7.712686567,6.579335793,5.474452555,7.314079422,8.584229391,9.092198582,9.866666667,10.4738676,10.66551724,10.66552901,10.91186441,10.58053691,10.51827243,10.54605263,10.81372549,10.95469256,11.08681672,10.89171975,10.39240506,10.99056604
         Other State and Local Programs**,11.94086022,12.69312169,13.07291667,14.22051282,15.29441624,16.96,15.31188119,13.04411765,14.29126214,15.50961538,17.09047619,17.28638498,17.85581395,19.79723502,22.57798165,24.18636364,23.54504505,25.27678571,27.96017699,31.02631579,32.12608696,36.2832618,38.94042553,40.27848101,40.16736402,41.87190083,50.88934426,55.77642276,59.68145161,59.83266932,62.55511811,62.74708171,61.58076923,65.79467681,69.2556391,65.26119403,63.94833948,65.45620438,66.77617329,67.53046595,66.4893617,71.44912281,75.79442509,82.34137931,87.97269625,91.28135593,92.56375839,95.11960133,97.5,100.3169935,103.3009709,102.5691318,100.5477707,99.53164557,96.82075472
         School Health,0.655913978,0.740740741,0.765625,0.733333333,0.766497462,0.84,0.925742574,1.053921569,1.174757282,1.264423077,1.380952381,1.44600939,1.493023256,1.594470046,1.729357798,1.818181818,1.95045045,2.272321429,2.473451327,2.631578947,2.882608696,3.038626609,3.204255319,3.35443038,3.543933054,3.797520661,4.040983607,4.227642276,4.431451613,4.721115538,5.090551181,5.303501946,5.446153846,5.904942966,6.394736842,6.660447761,6.974169742,7.434306569,7.931407942,8.35125448,8.804964539,9.435087719,10.06271777,10.45517241,10.89761092,11.4,11.97651007,12.94019934,13.45065789,13.73202614,13.86407767,13.93890675,13.92356688,13.78797468,13.81446541
     Public Health Activity,1.994623656,2.164021164,2.375,2.61025641,2.903553299,3.105,3.628712871,4.220588235,4.703883495,5.644230769,6.457142857,7.868544601,8.627906977,9.783410138,11.85321101,13.48636364,14.47297297,17.03125,20.30088496,23.5745614,28.02173913,32.32188841,36.68510638,39.03375527,41.17991632,46.33057851,50.76639344,55.17073171,61.56048387,70.80876494,78.72834646,86.10505837,93.74615385,101.8212928,111.2556391,115.6828358,119.4723247,127.1240876,135.2238267,145.9892473,152.6595745,164.1824561,181.8850174,187,187.4607509,193.9627119,204.2818792,218.9966777,235.2730263,242.0261438,244.02589,238.0192926,242.1751592,242.3670886,248.4056604
                          Federal  ,0.548387097,0.571428571,0.729166667,1.066666667,1.147208122,1.07,1.455445545,1.965686275,2.281553398,2.711538462,2.828571429,3.713615023,4.153488372,3.935483871,4.444954128,4.740909091,5,5.142857143,5.10619469,4.859649123,5.369565217,5.21888412,4.855319149,5.198312236,5.430962343,5.479338843,5.491803279,6.215447154,7.237903226,8.079681275,8.909448819,10.14396887,11.21153846,12.0418251,13.64661654,13.67537313,13.87084871,14.34671533,14.67509025,16.29390681,17.30141844,20.27719298,27.93728223,30.69310345,30.54266212,30.96610169,31.83557047,32.06644518,32.35197368,39.02614379,45.67961165,34.39228296,34.82802548,32.6835443,34.56918239
                          State and Local,1.446236559,1.597883598,1.645833333,1.543589744,1.76142132,2.035,2.173267327,2.254901961,2.422330097,2.932692308,3.628571429,4.154929577,4.474418605,5.847926267,7.408256881,8.745454545,9.477477477,11.88839286,15.19469027,18.71491228,22.65217391,27.10729614,31.82978723,33.83544304,35.74895397,40.85123967,45.27459016,48.95528455,54.32258065,62.72908367,69.81889764,75.96108949,82.53461538,89.78326996,97.60902256,102.0074627,105.601476,112.7773723,120.5487365,129.6953405,135.3546099,143.9052632,153.9512195,156.3068966,156.9180887,163,172.4463087,186.9302326,202.9210526,203.003268,198.3462783,203.6270096,207.3471338,209.6835443,213.8333333
     Investment,13.48387097,14.84656085,17.84895833,18.85641026,21.64467005,23.33,24.03465347,24.81862745,27.73300971,32.81730769,35.79047619,39.38028169,43.28837209,44.77880184,48.90366972,55.35,60.58108108,62.07589286,67.63274336,74.39035088,86.33478261,97.58369099,110.6638298,119.6455696,125.0083682,124.231405,126.942623,139.1626016,156.3104839,169.3864542,186.3110236,196.0389105,212.7769231,223.7870722,231.3984962,236.8059701,239.1881919,257.0547445,271.2382671,289.4767025,295.4432624,306.5824561,337.174216,357.6517241,380.1228669,405.8474576,419.9899329,459.7840532,486.8618421,454.130719,461.9482201,480.5787781,487.9840764,482.5537975,483.8427673
         Research,3.731182796,4.687830688,5.5625,6.251282051,6.934010152,7.605,8.03960396,8.700980392,9.111650485,9.25,9.3,9.901408451,10.9627907,11.52995392,12.69266055,15.32727273,16.6981982,17.25,19.63716814,21.0745614,23.60434783,24.48497854,25.63829787,27.60759494,31.83263598,34.38016529,36.89344262,40.75203252,43.69354839,46.76494024,49.91338583,53.77042802,58.04230769,62.63117871,66.7593985,69.6641791,65.71217712,71.67883212,77.66064982,83.74551971,90.33687943,100.0140351,111.554007,120.1517241,131.665529,136.6745763,138.1308725,141.448505,145.6513158,148.2745098,159.2750809,159.6366559,154.2834395,147.0316456,143.2201258
         Structures & Equipment,9.752688172,10.16402116,12.29166667,12.60512821,14.7106599,15.725,15.99009901,16.11764706,18.62135922,23.56730769,26.49047619,29.47887324,32.3255814,33.24884793,36.21559633,40.02272727,43.88288288,44.82589286,47.99557522,53.31578947,62.73043478,73.10300429,85.02978723,92.03797468,93.17573222,89.85123967,90.04918033,98.41056911,112.6169355,122.6215139,136.3976378,142.2684825,154.7346154,161.1558935,164.6390977,167.1455224,173.4760148,185.3759124,193.5812274,205.7311828,205.106383,206.5684211,225.6202091,237.5,248.4573379,269.1728814,281.8590604,318.3322259,341.2105263,305.8562092,302.6763754,320.9421222,333.7006369,335.5221519,340.6226415
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,15.57425743,39.53431373,47.37378641,53.94230769,61.72380952,71.07042254,82.04186047,92.87096774,112.3899083,135.3727273,157.1306306,180.1517857,204.1283186,233.5701754,275.7347826,322.2188841,358.9829787,400.1054852,436.9874477,465.9752066,500.8688525,542.3577236,580.8266129,649.7569721,723.7874016,832.0116732,939.1653846,1035.505703,1135.654135,1228.563433,1294.904059,1354.773723,1367.534296,1427.698925,1518.312057,1669.873684,1807.944251,1923.531034,2078.290102,2225.633898,2411.466443,2550.23588,2701.993421,2890.199346,3007.210356,3101.376206,3196.920382,3311.800633,3546.08805
POPULATION,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
